product_name,product_link,product_img_link,category,components
"Напиток Компотай Смешанный сокосодержащий, Вишня ж/б 450 мл",https://arbuz.kz/ru/almaty/catalog/item/269587-napitok_kompotai_smeshannyi_sokosoderzhashii_vishnya_zh_b_450_ml?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/269587-napitok_kompotai_smeshannyi_sokosoderzhashii_vishnya_zh_b_450_ml.png?w=460&h=460&_c=1730291193,Вода и напитки/Соки и морсы,"Вода очищенная, сахар, глюкоза, компаунд ""Вишня"", натуральный яблочный концентрат, яблочная кислота,лимонная кислота, ароматизатор пищевой ""Вишня"", ароматизатор пищевой ""Слива"""
"Напиток Компотай гранатовый 1,5 л",https://arbuz.kz/ru/almaty/catalog/item/319273-napitok_kompotai_granatovyi_1_5_l?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/image__319273-napitok_kompotai_granatovyi_1_5_l.jpg?w=460&h=460&_c=1730291113,Вода и напитки/Соки и морсы,"Вода очищенная, сахар, натуральный яблочный концентрат, регулятор кислотности: лимонная кислота, натуральный ароматизатор «вкус граната», натуральный краситель: экстракт черной моркови."
Напиток Компотай гранатовый 1 л,https://arbuz.kz/ru/almaty/catalog/item/319275-napitok_kompotai_granatovyi_1_l?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/image__319275-napitok_kompotai_granatovyi_1_l.jpg?w=460&h=460&_c=1730291108,Вода и напитки/Соки и морсы,"Вода очищенная, сахар, натуральный яблочный концентрат, регулятор кислотности: лимонная кислота, натуральный ароматизатор «вкус граната», натуральный краситель: экстракт черной моркови."
"Напиток Компотай Смешанный сокосодержащий, Ягода 450 мл",https://arbuz.kz/ru/almaty/catalog/item/269588-napitok_kompotai_smeshannyi_sokosoderzhashii_yagoda_450_ml?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/269588-napitok_kompotai_smeshannyi_sokosoderzhashii_yagoda_450_ml.jpg?w=460&h=460&_c=1732615121,Вода и напитки/Соки и морсы,"Вода очищенная, сахар, глюкоза, натуральный яблочный концентрат, компаунд ""Вишня"", компаунд ""Лсная ягода"", лимонная кислота, пищевой ароматизатор ""Клюква"", мальтодекстрин, натуральное пищевое волокно для продуктов здорового направления Fibregum B, ароматизатор ""Малина"", яблочная кислота, аскорбиновая кислота"
"Напиток Компотай Смешанный сокосодержащий, классический ж/б 450 мл",https://arbuz.kz/ru/almaty/catalog/item/269589-napitok_kompotai_smeshannyi_sokosoderzhashii_klassicheskii_zh_b_450_ml?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/269589-napitok_kompotai_smeshannyi_sokosoderzhashii_klassicheskii_zh_b_450_ml.jpg?w=460&h=460&_c=1730291186,Вода и напитки/Соки и морсы,"Вода очищенная, сахар, натуральный яблочный концентрат, глюкоза, соковая основа ""Мультифрукт"", концентрированный натуральный экстракт шиповника, натуральное пищевое волокно для продуктов здорового направления Fibregum B, регуляторы кислотности: лимонная кислота, аскорбиновая кислота, ароматизатор пищевой ""Слива"", ароматизатор пищевой ""Яблоко"", ароматизатор пищевой ""Мед"""
Кофе Jacobs Velvet растворимый 95 г,https://arbuz.kz/ru/almaty/catalog/item/318429-kofe_jacobs_velvet_rastvorimyi_95_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/image__318429-kofe_jacobs_velvet_rastvorimyi_95_g.jpg?w=460&h=460&_c=1737717207,Вода и напитки/Кофе и какао,100% натуральный сублимированный кофе
Кофе Jacobs Monarch растворимый 400 г,https://arbuz.kz/ru/almaty/catalog/item/263647-kofe_jacobs_monarch_rastvorimyi_400_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__9d816aa4-61ca-49e2-8d65-1a9b420256b7-8714599514481-1_jpg.jpg?w=%w&h=%h&_c=1734671853,Вода и напитки/Кофе и какао,Кофе 100 % натуральный растворимый сублимированный
Кофе Jacobs Monarch растворимый 500 г,https://arbuz.kz/ru/almaty/catalog/item/232818-kofe_jacobs_monarch_rastvorimyi_500_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__eb99ad30-62d8-4956-b629-b98de1f4de68-4607001777281-1_jpg.jpg?w=%w&h=%h&_c=1734671619,Вода и напитки/Кофе и какао,"100% натуральный кофе смеси арабики и робусты, идеально дополняющих друг друга."
Кофе Jacobs Caramel с ароматом карамели 95 г,https://arbuz.kz/ru/almaty/catalog/item/257013-kofe_jacobs_caramel_s_aromatom_karameli_95_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/257013-kofe_jacobs_caramel_jar_95_g.jpg?w=460&h=460&_c=1737514676,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Barista Italiano в зёрнах 800 г,https://arbuz.kz/ru/almaty/catalog/item/272460-kofe_jacobs_barista_italiano_v_z_rnah_800_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/272460-kofe_jacobs_v_z_rnah_barista_italliano_800_g.jpg?w=460&h=460&_c=1737350361,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Monarch растворимый 230 г,https://arbuz.kz/ru/almaty/catalog/item/232807-kofe_jacobs_monarch_rastvorimyi_230_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/image__232807-kofe_jacobs_monarch_rastvorimyi_230_g.jpg?w=460&h=460&_c=1725337162,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Monarch растворимый сублимированный с/б 95 г,https://arbuz.kz/ru/almaty/catalog/item/216036-kofe_jacobs_monarch_rastvorimyi_sublimirovannyi_s_b_95_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__4cf9a82a-97ff-4105-8698-f1b56f631277-8714599524220-1_jpg.jpg?w=%w&h=%h&_c=1734671934,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Monarch в зернах средней обжарки 800 г,https://arbuz.kz/ru/almaty/catalog/item/263488-kofe_jacobs_monarch_v_zernah_srednei_obzharki_800_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/263488-kofe_jacobs_monarch_v_zernah_srednei_obzharki_800_g.jpg?w=460&h=460&_c=1725350536,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
"Кофейный напиток Jacobs Cappuccino Choco Nuss, 500 г",https://arbuz.kz/ru/almaty/catalog/item/306180-kofeinyi_napitok_jacobs_cappuccino_choco_nuss_500_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/306180-kofeinyi_napitok_jacobs_cappuccino_choco_nuss_500_g.jpg?w=460&h=460&_c=1737431492,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
"Кофе Jacobs Monarch натуральный растворимый сублимированный, 220 г",https://arbuz.kz/ru/almaty/catalog/item/306192-kofe_jacobs_monarch_naturalnyi_rastvorimyi_sublimirovannyi_220_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/306192-kofe_jacobs_monarch_naturalnyi_rastvorimyi_sublimirovannyi_220_g.jpg?w=460&h=460&_c=1737527755,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
"Кофе Jacobs Monarch растворимый 47,5 г",https://arbuz.kz/ru/almaty/catalog/item/273956-kofe_jacobs_monarch_rastvorimyi_47_5_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__3b3d2d9a-feec-4a9f-9c2d-2f1085d99c05-4607001770343-1_jpg.jpg?w=%w&h=%h&_c=1734671999,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Barista Crema молотый 230 г,https://arbuz.kz/ru/almaty/catalog/item/259250-kofe_jacobs_barista_crema_molotyi_230_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/259250-kofe_jacobs_barista_molotyi_230_g.jpg?w=460&h=460&_c=1736743906,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Monarch жареный молотый 230 г,https://arbuz.kz/ru/almaty/catalog/item/216061-kofe_jacobs_monarch_zharenyi_molotyi_230_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/216061-kofe_jacobs_monarch_zharenyi_molotyi_230_g.jpg?w=460&h=460&_c=1736476439,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Monarch растворимый сублимированный 75 г,https://arbuz.kz/ru/almaty/catalog/item/207214-kofe_jacobs_monarch_rastvorimyi_sublimirovannyi_75_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__ddde544a-ee92-45fd-a79f-db72678a9e30-8714599512043-1_jpg.jpg?w=%w&h=%h&_c=1734671699,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Barista Crema в зернах 230 г,https://arbuz.kz/ru/almaty/catalog/item/259251-kofe_jacobs_barista_crema_v_zernah_230_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/259251-kofe_jacobs_barista_crema_v_zernah_230_g.jpg?w=460&h=460&_c=1733138640,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе молотый Jacobs Monarch По-Восточному 230 г,https://arbuz.kz/ru/almaty/catalog/item/257014-kofe_molotyi_jacobs_monarch_po-vostochnomu_230_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/257014-kofe_molotyi_jacobs_monarch_po-vostochnomu_230_g.png?w=460&h=460&_c=1723182100,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Barista Americano растворимый с молотым 130 г,https://arbuz.kz/ru/almaty/catalog/item/257019-kofe_jacobs_barista_americano_rastvorimyi_s_molotym_130_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/257019-kofe_jacobs_barista_americano_rastvorimyi_s_molotym_130_g.jpg?w=460&h=460&_c=1722682749,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Monarch растворимый сублимированный 50 г,https://arbuz.kz/ru/almaty/catalog/item/259240-kofe_jacobs_monarch_rastvorimyi_sublimirovannyi_50_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__422f7753-599e-42d9-853d-4208076d4e57-8714599103562-1_jpg.jpg?w=%w&h=%h&_c=1734671665,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Caramel Latte 3в1 растворимый 12 г 24 шт,https://arbuz.kz/ru/almaty/catalog/item/273969-kofe_jacobs_caramel_latte_3v1_rastvorimyi_12_g_24_sht?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/273969-kofe_jacobs_caramel_latte_3v1_rastvorimyi_12_g_24_sht.jpg?w=460&h=460&_c=1732520622,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Latte 3в1 растворимый 13 г 24 шт,https://arbuz.kz/ru/almaty/catalog/item/273962-kofe_jacobs_latte_3v1_rastvorimyi_13_g_24_sht?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/273962-kofe_jacobs_latte_3v1_rastvorimyi_13_g_24_sht.jpg?w=460&h=460&_c=1733739961,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs gold растворимый сублимированный с/б 95 г,https://arbuz.kz/ru/almaty/catalog/item/216034-kofe_jacobs_gold_rastvorimyi_sublimirovannyi_s_b_95_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/216034-39-kofe_naturalnyi_rast_ru.jpg?w=460&h=460&_c=1722833782,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе зерновой Jacobs Kronung 500 г,https://arbuz.kz/ru/almaty/catalog/item/320377-kofe_zernovoi_jacobs_kronung_500_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/image__320377-kofe_zernovoi_jacobs_kronung_500_g.jpg?w=460&h=460&_c=1732700339,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе зерновой Jacobs Gold 500 г,https://arbuz.kz/ru/almaty/catalog/item/320378-kofe_zernovoi_jacobs_gold_500_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/image__320378-kofe_zernovoi_jacobs_gold_500_g.jpg?w=460&h=460&_c=1732700340,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Monarch растворимый стекло 190 г,https://arbuz.kz/ru/almaty/catalog/item/232819-kofe_jacobs_monarch_rastvorimyi_steklo_190_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__4077a2eb-3355-43b6-b2dc-bc23f6e7dd68-4607001771555-1_jpg.jpg?w=%w&h=%h&_c=1734671499,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Barista Italiano молотый 230 г,https://arbuz.kz/ru/almaty/catalog/item/272459-kofe_jacobs_barista_italiano_molotyi_230_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/272459-kofe_jacobs_barista_italiano_molotyi_230_g.jpg?w=460&h=460&_c=1727768135,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофейный напиток Jacobs original растворимы 3в1 12 г 24 шт,https://arbuz.kz/ru/almaty/catalog/item/289893-kofeinyi_napitok_jacobs_original_rastvorimy_3v1_12_g_24_sht?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/289893-kofeinyi_napitok_jacobs_original_rastvorimy_3v1_12_g_24_sht.jpg?w=460&h=460&_c=1735180371,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Barista молотый в растворимом 90 г,https://arbuz.kz/ru/almaty/catalog/item/265711-kofe_jacobs_barista_molotyi_v_rastvorimom_90_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/265711-kofe_jacobs_barista_molotyi_v_rastvorimom_90_g.jpg?w=460&h=460&_c=1735464064,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Iced Latte Соленая карамель 3в1 растворимый 21 г,https://arbuz.kz/ru/almaty/catalog/item/264753-kofe_jacobs_iced_latte_solenaya_karamel_3v1_rastvorimyi_21_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/264753-kofe_jacobs_latte_solenaya_karamel_3v1_rastvorimyi_21_g.jpg?w=460&h=460&_c=1732848035,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Cappuccino 3в1 растворимый 12 г 24 шт,https://arbuz.kz/ru/almaty/catalog/item/273961-kofe_jacobs_cappuccino_3v1_rastvorimyi_12_g_24_sht?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/273961-kofe_jacobs_cappuccino_3v1_rastvorimyi_12_g_24_sht.jpg?w=460&h=460&_c=1735266803,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
"Кофейный напиток Jacobs Milka 3в1 cappuccino, 10 шт х 18 г",https://arbuz.kz/ru/almaty/catalog/item/306191-kofeinyi_napitok_jacobs_milka_3v1_cappuccino_10_sht_h_18_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/306191-kofeinyi_napitok_jacobs_milka_3v1_18_g.jpg?w=460&h=460&_c=1733109448,Вода и напитки/Кофе и какао,"Сахар, глюкозный сироп, масло кокосовое полностью гидрогенизированное, какао порошок (10%), мальтодекстрин, молоко сухое обезжиренное (5%), концентрированный белок сыворотки (из молока), кофе натуральный растворимый (3%), пермиат из сыворотки молочной, частично обезжиренное сухое молоко, эмульгаторы (Е1450, Е471), ароматизаторы, стабилизаторы (Е340, Е451), лактоза, соль, антиспекающие агенты (Е551, Е341), загуститель (Е415)."
Кофе Jacobs Milka Капучино 3в1 растворимый 18 г,https://arbuz.kz/ru/almaty/catalog/item/264755-kofe_jacobs_milka_kapuchino_3v1_rastvorimyi_18_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/264755-kofe_jacobs_milka_kapuchino_3v1_rastvorimyi_18_g.jpg?w=460&h=460&_c=1734673747,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Monarch Intense молотый 230 г,https://arbuz.kz/ru/almaty/catalog/item/259247-kofe_jacobs_monarch_intense_molotyi_230_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/259247-kofe_jacobs_monarch_intense_molotyi_230_g.jpg?w=460&h=460&_c=1732011000,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Intense 3в1 растворимый 12 г 24 шт,https://arbuz.kz/ru/almaty/catalog/item/273968-kofe_jacobs_intense_3v1_rastvorimyi_12_g_24_sht?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/273968-kofe_jacobs_intense_3v1_rastvorimyi_12_g_24_sht.jpg?w=460&h=460&_c=1737293154,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
"Кофе Jacobs Barista Americano растворимый 46,8 г 30 шт",https://arbuz.kz/ru/almaty/catalog/item/280380-kofe_jacobs_barista_americano_rastvorimyi_46_8_g_30_sht?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/280380-kofe_jacobs_barista_americano_rastvorimyi_46_8_g_26_sht.jpg?w=460&h=460&_c=1733833688,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
"Кофе Jacobs растворимый Капучино 17,5 г 16 шт",https://arbuz.kz/ru/almaty/catalog/item/280383-kofe_jacobs_rastvorimyi_kapuchino_17_5_g_16_sht?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/280383-kofe_jacobs_rastvorimyi_kapuchino_17_5_g_16_sht.jpg?w=460&h=460&_c=1727768131,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Промо Кофе Jacobs Monarch 95 г + Caramel 95 г + Jacobs Day & Night 95 г,https://arbuz.kz/ru/almaty/catalog/item/264614-promo_kofe_jacobs_monarch_95_g_caramel_95_g_jacobs_day_night_95_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/264614-promo_kofe_jacobs_monarch_caramel_jacobs_day_night_3_sht_po_95_g.jpg?w=460&h=460&_c=1726559934,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе молотый Jacobs Gold 250 г,https://arbuz.kz/ru/almaty/catalog/item/320374-kofe_molotyi_jacobs_gold_250_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/image__320374-kofe_molotyi_jacobs_gold_250_g.jpg?w=460&h=460&_c=1733291131,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Original 3в1 растворимый 24 г,https://arbuz.kz/ru/almaty/catalog/item/264761-kofe_jacobs_original_3v1_rastvorimyi_24_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/264761-kofe_jacobs_original_3v1_rastvorimyi_24_g.jpg?w=460&h=460&_c=1735117184,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Asian Selection натуральный растворимый сублимированный 90 г,https://arbuz.kz/ru/almaty/catalog/item/275134-kofe_jacobs_asian_selection_naturalnyi_rastvorimyi_sublimirovannyi_90_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/275134-kofe_jacobs_asian_selection_naturalnyi_rastvorimyi_sublimirovannyi_90_g.jpg?w=460&h=460&_c=1736774228,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Monarch Plus FD 3в1 растворимый 15 г 24 шт,https://arbuz.kz/ru/almaty/catalog/item/282381-kofe_jacobs_monarch_plus_fd_3v1_rastvorimyi_15_g_24_sht?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/282381-kofe_jacobs_monarch_3v1_rastvorimyi_15_g_24_sht.jpg?w=460&h=460&_c=1730960624,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
"Молоко Айс топленое 3,2% 1 л",https://arbuz.kz/ru/almaty/catalog/item/294058-moloko_ais_toplenoe_3_2_1_l?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__cdbd7db2-1ee4-48fe-bb9c-0aca35257edb-294058-001_jpg.jpg?w=%w&h=%h&_c=1736162647,"Молоко, сыр и яйца","натуральное молоко, нормализованное по жиру"
Молоко Айс 2.5% 1 л,https://arbuz.kz/ru/almaty/catalog/item/247489-moloko_ais_2_5_1_l?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/image__247489-moloko_ais_sterilizovannoe_2_5_1_l.jpg?w=460&h=460&_c=1737429162,"Молоко, сыр и яйца","Молоко цельное, молоко обезжиренное."
"Молоко Айс 3.2%, 1 л",https://arbuz.kz/ru/almaty/catalog/item/247490-moloko_ais_3_2_1_l?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__72e39423-1b88-4038-a17f-3725c48c56ea-247490-001_jpg.jpg?w=%w&h=%h&_c=1726742034,"Молоко, сыр и яйца","Натуральное молоко, нормализованное по жиру"
"Айран Айс по турецки 1.2%, 1000 г",https://arbuz.kz/ru/almaty/catalog/item/291969-airan_ais_po_turecki_1_2_1000_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__b0c3a9a7-ef50-4c5b-bddd-6ec818a922b7-291969-001_jpg.jpg?w=%w&h=%h&_c=1726738827,"Молоко, сыр и яйца","Молоко коровье цельное, вода подготовленная, поваренная соль, закваска (термофильный молочнокислый стрептококк, болгарская молочнокислая палочка, лактосбраживающие дрожжи). "
"Масло Айс сливочное Нағыз крестьянское 72,5% 180 г",https://arbuz.kz/ru/almaty/catalog/item/267281-maslo_ais_slivochnoe_na_yz_krestyanskoe_72_5_180_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__cbca04b1-4855-4c9c-8752-8ba0c3fc126c-267281-001_jpg.jpg?w=%w&h=%h&_c=1737449419,"Молоко, сыр и яйца",пастеризованные сливки
"Айран Айс по-турецки 1,2% 260г ПЭТ",https://arbuz.kz/ru/almaty/catalog/item/281026-airan_ais_po-turecki_1_2_260g_pet?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__a9737411-a522-418c-94dc-a7cd6a0c6a16-281026-001_jpg.jpg?w=%w&h=%h&_c=1726738190,"Молоко, сыр и яйца","натуральное молоко нормализованное по жиру, вода, соль, закваска."
"Варенец Айс 2,5% с аппликатором 1000 г",https://arbuz.kz/ru/almaty/catalog/item/275949-varenec_ais_2_5_s_applikatorom_1000_g_?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/image__275949-varenec_ais_2_5_s_applikatorom_1000_g_.jpg?w=460&h=460&_c=1736829693,"Молоко, сыр и яйца","Натуральное молоко, нормализованное по жиру, сахар белый, закваска."
"Масло Айс сливочное крестьянское 72,5% 500 г",https://arbuz.kz/ru/almaty/catalog/item/292012-maslo_ais_slivochnoe_krestyanskoe_72_5_500_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__352f99dc-07cc-4b6f-b30a-7f058f42f14f-292012_jpg.jpg?w=%w&h=%h&_c=1737451144,"Молоко, сыр и яйца","Пастеризованные сливки
 "
"Йогурт Айс со вкусом персика 2,5%, 1000 г",https://arbuz.kz/ru/almaty/catalog/item/291988-iogurt_ais_so_vkusom_persika_2_5_1000_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/image__291988-iogurt_ais_so_vkusom_persika_2_5_1000_g.jpg?w=460&h=460&_c=1737088220,"Молоко, сыр и яйца","Натуральное молоко нормализованное по жиру, сахар белый, стабилизатор, ароматизатор, краситель кармин, йогуртовая закваска."
"Кофейный напиток Jacobs Iced Latte Salted Caramel 3 в 1, 21,5 г",https://arbuz.kz/ru/almaty/catalog/item/306190-kofeinyi_napitok_jacobs_iced_latte_salted_caramel_3_v_1_21_5_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/306190-kofeinyi_napitok_jacobs_iced_latte_salted_caramel_3_v_1_21_5_g.jpg?w=460&h=460&_c=1727440462,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Caramel 3в1 растворимый 15 г,https://arbuz.kz/ru/almaty/catalog/item/264759-kofe_jacobs_caramel_3v1_rastvorimyi_15_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/264759-kofe_jacobs_caramel_3v1_rastvorimyi_15_g.jpg?w=460&h=460&_c=1736994040,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Monarch растворимый сублимированный 33 г,https://arbuz.kz/ru/almaty/catalog/item/224609-kofe_jacobs_monarch_rastvorimyi_sublimirovannyi_33_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__90b06486-afe3-4aad-b507-f4e58e2f6001-8714599515921-1_jpg.jpg?w=%w&h=%h&_c=1734671881,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Monarch растворимый сублимированный 300 г,https://arbuz.kz/ru/almaty/catalog/item/265708-kofe_jacobs_monarch_rastvorimyi_sublimirovannyi_300_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__f97a578d-c2a7-419a-9a2d-ee44cfb09487-8714599514399-1_jpg.jpg?w=%w&h=%h&_c=1734671823,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Barista Crema в зернах 800 г,https://arbuz.kz/ru/almaty/catalog/item/269157-kofe_jacobs_barista_crema_v_zernah_800_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/269157-kofe_jacobs_barista_crema_v_zernah_800_g.jpg?w=460&h=460&_c=1734160247,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Classic Латте карамель 3в1 растворимый 17 г,https://arbuz.kz/ru/almaty/catalog/item/264757-kofe_jacobs_classic_latte_karamel_3v1_rastvorimyi_17_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/264757-kofe_jacobs_classic_latte_karamel_3v1_rastvorimyi_17_g.jpg?w=460&h=460&_c=1736496348,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
"Кофейный напиток Jacobs Iced Latte Original 3 в 1, 21,5 г",https://arbuz.kz/ru/almaty/catalog/item/306189-kofeinyi_napitok_jacobs_iced_latte_original_3_v_1_21_5_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/306189-kofeinyi_napitok_jacobs_iced_latte_original_3_v_1_21_5_g.jpg?w=460&h=460&_c=1735355840,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
